,context_word,collocate_count,total_count,MI-score
0,raising,1,10,14.201866832916732
1,of,7,6897,20.824337067411104
2,far,1,88,17.339370356666667
3,specimen,1,4,12.879938738029368
4,different,1,47,16.434527589707006
5,well,1,578,20.05486442053005
6,plight,1,4,12.879938738029368
7,isn,1,159,18.192821693313725
8,dog,2,14,13.687293660086974
9,end,1,117,17.750303457612773
10,s,1,2331,22.066672027158237
11,why,5,282,16.697561995540802
12,about,2,705,19.341418185315526
13,chance,1,43,16.30620349273147
14,power,1,42,16.27225616080813
15,a,4,5908,21.40839284879416
16,see,1,427,19.61803099764986
17,for,2,1924,20.789831821799414
18,ruthless,1,15,14.786829333637888
19,influence,1,16,14.879938738029368
20,machinery,1,15,14.786829333637888
21,you,2,3218,21.531887348752814
22,an,3,823,18.97972485772984
23,is,2,705,19.341418185315526
24,and,3,7381,22.144576812145694
25,yes,1,449,19.690510372770518
26,but,2,1928,20.79282807425933
27,what,2,928,19.737919733156943
28,purchasing,1,1,10.87993873802937
29,standard,1,4,12.879938738029368
30,are,2,365,18.39169139179675
31,to,1,6602,23.568626161251903
32,might,1,372,19.4190975491374
33,him,1,1257,21.175707672449878
34,she,1,3736,22.74721747773903
35,t,1,1742,21.646467646628235
36,mad,1,5,13.201866832916732
37,his,1,2278,22.03349076973748
38,here,1,427,19.61803099764986
39,therefore,1,33,15.924332857387824
40,no,1,1018,20.871460584105066
41,as,2,1659,20.576036908985234
42,only,1,345,19.310391289694902
43,i,1,4143,22.896398843008576
44,evolution,1,7,13.687293660086974
45,sense,1,84,17.27225616080813
46,top,7,31,13.026780126358641
47,in,2,4261,21.93691507420759
48,it,1,3236,22.539934630459346
49,on,1,1680,21.59418425569549
50,magnificent,1,30,15.786829333637888
51,thinking,1,103,17.566439265212587
52,love,1,129,17.891165993452624
53,may,1,115,17.725428788973744
54,evelyn,1,1747,21.65060263094613
55,the,16,14400,20.693719929246406
56,practitioners,1,1,10.87993873802937
57,again,1,265,18.92978728747993
58,this,1,718,20.36777877185242
59,too,1,346,19.314566965666096
60,prince,1,13,14.580378456170463
61,wipe,1,2,11.879938738029368
62,under,8,147,15.079611082865735
63,he,1,5148,23.209735076250073
64,thoroughbred,1,1,10.87993873802937
65,asked,1,181,18.379784625112578
66,abolish,1,2,11.879938738029368
67,there,1,722,20.37579376491654
68,other,1,249,18.83994067009745
69,was,1,4363,22.97104349640587
70,will,1,279,19.004060049858555
